type	latitude	longitude	name	
T	32.748418000	-117.125234000		
T	32.748428000	-117.125276000		
T	32.748427000	-117.125301000		
T	32.748424000	-117.125336000		
T	32.748420000	-117.125377000		
T	32.748420000	-117.125419000		
T	32.748422000	-117.125457000		
T	32.748422000	-117.125496000		
T	32.748421000	-117.125535000		
T	32.748421000	-117.125570000		
T	32.748433000	-117.125591000		
T	32.748438000	-117.125612000		
T	32.748434000	-117.125634000		
T	32.748424000	-117.125656000		
T	32.748411000	-117.125678000		
T	32.748396000	-117.125699000		
T	32.748387000	-117.125724000		
T	32.748383000	-117.125753000		
T	32.748383000	-117.125785000		
T	32.748389000	-117.125821000		
T	32.748398000	-117.125860000		
T	32.748407000	-117.125905000		
T	32.748412000	-117.125949000		
T	32.748415000	-117.125989000		
T	32.748417000	-117.126026000		
T	32.748417000	-117.126065000		
T	32.748417000	-117.126100000		
T	32.748417000	-117.126133000		
T	32.748415000	-117.126163000		
T	32.748411000	-117.126181000		
T	32.748407000	-117.126197000		
T	32.748402000	-117.126217000		
T	32.748397000	-117.126238000		
T	32.748393000	-117.126260000		
T	32.748392000	-117.126284000		
T	32.748393000	-117.126314000		
T	32.748393000	-117.126346000		
T	32.748395000	-117.126383000		
T	32.748396000	-117.126421000		
T	32.748396000	-117.126464000		
T	32.748401000	-117.126510000		
T	32.748409000	-117.126549000		
T	32.748409000	-117.126579000		
T	32.748405000	-117.126603000		
T	32.748403000	-117.126626000		
T	32.748410000	-117.126652000		
T	32.748421000	-117.126677000		
T	32.748437000	-117.126693000		
T	32.748449000	-117.126703000		
T	32.748467000	-117.126730000		
T	32.748468000	-117.126763000		
T	32.748466000	-117.126794000		
T	32.748464000	-117.126829000		
T	32.748459000	-117.126868000		
T	32.748457000	-117.126909000		
T	32.748450000	-117.126944000		
T	32.748437000	-117.126974000		
T	32.748432000	-117.127002000		
T	32.748427000	-117.127026000		
T	32.748425000	-117.127051000		
T	32.748427000	-117.127086000		
T	32.748430000	-117.127124000		
T	32.748435000	-117.127164000		
T	32.748438000	-117.127204000		
T	32.748448000	-117.127236000		
T	32.748460000	-117.127259000		
T	32.748458000	-117.127280000		
T	32.748450000	-117.127298000		
T	32.748443000	-117.127316000		
T	32.748437000	-117.127336000		
T	32.748431000	-117.127358000		
T	32.748427000	-117.127380000		
T	32.748425000	-117.127402000		
T	32.748422000	-117.127423000		
T	32.748421000	-117.127446000		
T	32.748420000	-117.127471000		
T	32.748419000	-117.127499000		
T	32.748417000	-117.127534000		
T	32.748416000	-117.127578000		
T	32.748416000	-117.127618000		
T	32.748420000	-117.127661000		
T	32.748424000	-117.127703000		
T	32.748423000	-117.127742000		
T	32.748423000	-117.127781000		
T	32.748428000	-117.127824000		
T	32.748435000	-117.127869000		
T	32.748434000	-117.127906000		
T	32.748423000	-117.127932000		
T	32.748419000	-117.127960000		
T	32.748418000	-117.127990000		
T	32.748422000	-117.128025000		
T	32.748426000	-117.128060000		
T	32.748429000	-117.128096000		
T	32.748431000	-117.128131000		
T	32.748430000	-117.128164000		
T	32.748429000	-117.128194000		
T	32.748428000	-117.128220000		
T	32.748424000	-117.128248000		
T	32.748417000	-117.128279000		
T	32.748408000	-117.128307000		
T	32.748402000	-117.128331000		
T	32.748402000	-117.128349000		
T	32.748401000	-117.128362000		
T	32.748397000	-117.128351000		
T	32.748389000	-117.128374000		
T	32.748378000	-117.128390000		
T	32.748363000	-117.128410000		
T	32.748343000	-117.128433000		
T	32.748331000	-117.128461000		
T	32.748329000	-117.128494000		
T	32.748333000	-117.128528000		
T	32.748347000	-117.128557000		
T	32.748364000	-117.128585000		
T	32.748365000	-117.128606000		
